category,comment,director,ranking,rate,region,score_number,title,year
喜剧 剧情 爱情,有时候幸福需要等一等。 ,"史蒂文·斯皮尔伯格 ,Steven Spielberg",128,8.8,美国,369708,"幸福终点站,The Terminal,机场客运站(港)  /  航站情缘(台)",2004
喜剧 动作 科幻 动画 冒险,Balalala~~~,"唐·霍尔 ,Don Hall ",129,8.7,美国,675563,"超能陆战队,Big Hero 6,大英雄联盟(港)  /  大英雄天团(台)",2014
剧情,我的平常生活就是他人的幸福。,"是枝裕和 ,Hirokazu Koreeda",130,9.1,日本,179015,"无人知晓,誰も知らない,谁知赤子心(港)  /  无人知晓的夏日清晨(台)",2004
剧情 爱情,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,"理查德·林克莱特 ,Richard Linklater",131,8.8,美国 法国,342247,"爱在日落黄昏时,Before Sunset,日落巴黎(港)  /  爱在日落巴黎时(台)",2004
动画 奇幻 冒险,曾经的那段美好会沉淀为一辈子的记忆。,"米林宏昌 ,Hiromasa Yonebayashi",132,8.8,日本,367781,"借东西的小人阿莉埃蒂,借りぐらしのアリエッティ,借物少女艾莉缇(台)  /  借东西的小矮人亚莉亚蒂(港)",2010
喜剧 动画 冒险,Mr. I Don't Care其实也有Care的时候。,"皮艾尔·柯芬 ,Pierre Coffin ",133,8.6,美国 法国,677090,"神偷奶爸,Despicable Me,卑鄙的我  /  坏蛋奖门人(港)",2010
儿童 喜剧 动画 奇幻 冒险,不要给它起名字，起了名字就有感情了。,"彼特·道格特 ,Pete Docter ",134,8.7,美国,439663,"怪兽电力公司,Monsters, Inc.,怪兽公司(港)  /  怪物公司",2001
剧情 犯罪,坏人的好总是比好人的好来得更感人。,"克林特·伊斯特伍德 ,Clint Eastwood",135,9.1,美国,166915,"完美的世界,A Perfect World,强盗保镳",1993
喜剧 动画 奇幻 冒险,跨度十五年的欢乐与泪水。,"李·昂克里奇 ,Lee Unkrich",136,8.8,美国,341358,"玩具总动员3,Toy Story 3,反斗奇兵3(港)  /  玩具的故事3",2010
动画 奇幻 冒险,动画片的圣经。,"宫崎骏 ,Hayao Miyazaki",137,8.9,日本,273362,"风之谷,風の谷のナウシカ,风谷少女  /  Kaze no tani no Naushika",1984
剧情 传记 历史 战争,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,"梅尔·吉布森 ,Mel Gibson",138,8.7,美国 澳大利亚,558434,"血战钢锯岭,Hacksaw Ridge,钢锯岭  /  钢铁英雄(台)",2016
犯罪 剧情,被上帝抛弃了的上帝之城。,"费尔南多·梅里尔斯 ,Fernando Meirelles ",139,8.9,巴西 法国,223498,"上帝之城,Cidade de Deus,无主之城 (港)  /  无法无天 (台)",2002
剧情 爱情,爱是摈弃傲慢与偏见之后的曙光。,"乔·怀特 ,Joe Wright",140,8.6,法国 英国 美国,517625,"傲慢与偏见,Pride & Prejudice,傲慢与偏见2005  /  Pride And Prejudice",2005
喜剧 爱情 奇幻,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,"理查德·柯蒂斯 ,Richard Curtis",141,8.7,英国,372683,"时空恋旅人,About Time,时空旅恋人  /  回到最爱的一天(港)",2013
悬疑 惊悚 恐怖,真相就在眼前。,"詹姆斯·温 ,James Wan",142,8.7,美国,343114,"电锯惊魂,Saw,夺魂锯(台)  /  恐惧斗室(港)",2004
剧情 犯罪,任何信念的力量，都无法改变命运。,"弗朗西斯·福特·科波拉 ,Francis Ford Coppola",143,8.9,美国,235035,"教父3,The Godfather: Part III,教父第三集  /  教父 III",1990
剧情 喜剧 爱情 同性 家庭,中国家庭的喜怒哀乐忍。,"李安 ,Ang Lee",144,8.9,中国台湾 美国,231361,"喜宴,囍宴,The Wedding Banquet",1993
动作 喜剧 犯罪 奇幻,警恶惩奸，维护世界和平这个任务就交给你了，好吗？,"周星驰 ,Stephen Chow",145,8.5,中国大陆 中国香港,630119,"功夫,功夫3D  /  Kung Fu Hustle",2004
动作 悬疑 惊悚,像吃了苏打饼一样干脆的电影。,"保罗·格林格拉斯 ,Paul Greengrass",146,8.8,美国 德国,298326,"谍影重重3,The Bourne Ultimatum,叛谍追击3：最后通牒(港)  /  神鬼认证：最后通牒 (台)",2007
剧情 家庭,岁月流逝，来日可追。,"罗启锐 ,Alex Law",147,8.7,中国香港 中国大陆,443850,"岁月神偷,歲月神偷,1969太空漫游  /  Echoes Of The Rainbow",2010
剧情 动作 犯罪,英雄泪短，兄弟情长。 ,"吴宇森 ,John Woo",148,8.7,中国香港,339610,"英雄本色,A Better Tomorrow  /  Gangland Boss",1986
剧情 动作 西部 冒险,热血沸腾，那个低俗、性感的无耻混蛋又来了。,"昆汀·塔伦蒂诺 ,Quentin Tarantino",149,8.7,美国,422432,"被解救的姜戈,Django Unchained,被解放的姜戈  /  决杀令(台)",2012
动作 冒险 剧情,时代悲歌。,"黑泽明 ,Akira Kurosawa",150,9.2,日本,128404,"七武士,七人の侍,七侠四义(港)  /  The Seven Samurai",1954
动画 奇幻,传奇的年代，醉人的童话。,"王树忱 ,Shuchen Wang ",151,9.2,中国大陆,134241,"天书奇谭,The Legend of Sealed Book  /  Secrets of the Heavenly Book",1983(中国大陆)
